Herd,id,season_yr,distance,comparison,dyadID
Fogo,FO2016005,2017,6915.297637,conspecific,FO2016005-FO2017007
Fogo,FO2016005,2017,7722.631297,conspecific,FO2016005-FO2017004
Fogo,FO2016005,2017,5653.3434,conspecific,FO2016005-FO2016008
Fogo,FO2016005,2017,7137.140993,conspecific,FO2016005-FO2017009
Fogo,FO2016005,2017,8052.36806,conspecific,FO2016005-FO2017014
Fogo,FO2016005,2017,2521.645434,conspecific,FO2016005-FO2017006
Fogo,FO2016005,2017,10415.06957,conspecific,FO2016005-FO2017001
Fogo,FO2016005,2017,14372.53208,conspecific,FO2016005-FO2017013
Fogo,FO2016005,2017,9249.102109,conspecific,FO2016005-FO2016010
Fogo,FO2016005,2017,12024.906,conspecific,FO2016005-FO2016013
Fogo,FO2016005,2017,9695.131034,conspecific,FO2016005-FO2017012
Fogo,FO2016005,2017,7361.943153,conspecific,FO2016005-FO2017008
Fogo,FO2016005,2017,7927.986698,conspecific,FO2016005-FO2016012
Fogo,FO2016008,2017,6890.008627,conspecific,FO2016008-FO2016014
Fogo,FO2016008,2017,2939.094103,conspecific,FO2016008-FO2017011
Fogo,FO2016008,2017,8188.746197,conspecific,FO2016008-FO2017003
Fogo,FO2016008,2017,2750.355717,conspecific,FO2016008-FO2016015
Fogo,FO2016008,2017,8507.3916,conspecific,FO2016008-FO2017007
Fogo,FO2016008,2017,13355.079,conspecific,FO2016008-FO2017004
Fogo,FO2016008,2017,2678.503496,conspecific,FO2016008-FO2017009
Fogo,FO2016008,2017,12986.28441,conspecific,FO2016008-FO2017014
Fogo,FO2016008,2017,5985.935258,conspecific,FO2016008-FO2017006
Fogo,FO2016008,2017,15928.40769,conspecific,FO2016008-FO2017001
Fogo,FO2016008,2017,19891.69711,conspecific,FO2016008-FO2017013
Fogo,FO2016008,2017,3848.930096,conspecific,FO2016008-FO2016010
Fogo,FO2016008,2017,9695.383361,conspecific,FO2016008-FO2016013
Fogo,FO2016008,2017,14133.67674,conspecific,FO2016008-FO2017012
Fogo,FO2016008,2017,10223.88363,conspecific,FO2016008-FO2017008
Fogo,FO2016008,2017,8424.647151,conspecific,FO2016008-FO2016012
Fogo,FO2016010,2017,9641.244754,conspecific,FO2016010-FO2016014
Fogo,FO2016010,2017,1390.27894,conspecific,FO2016010-FO2017011
Fogo,FO2016010,2017,11819.51522,conspecific,FO2016010-FO2017003
Fogo,FO2016010,2017,5122.143013,conspecific,FO2016010-FO2016015
Fogo,FO2016010,2017,12063.89416,conspecific,FO2016010-FO2017007
Fogo,FO2016010,2017,16959.26713,conspecific,FO2016010-FO2017004
Fogo,FO2016010,2017,4842.797756,conspecific,FO2016010-FO2017009
Fogo,FO2016010,2017,15764.26619,conspecific,FO2016010-FO2017014
Fogo,FO2016010,2017,9833.140131,conspecific,FO2016010-FO2017006
Fogo,FO2016010,2017,19132.76364,conspecific,FO2016010-FO2017001
Fogo,FO2016010,2017,23608.88626,conspecific,FO2016010-FO2017013
Fogo,FO2016010,2017,11441.72896,conspecific,FO2016010-FO2016013
Fogo,FO2016010,2017,16524.25743,conspecific,FO2016010-FO2017012
Fogo,FO2016010,2017,13941.28386,conspecific,FO2016010-FO2017008
Fogo,FO2016010,2017,11697.02145,conspecific,FO2016010-FO2016012
Fogo,FO2016012,2017,2679.004521,conspecific,FO2016012-FO2016014
