calved,calving_date,lost,Herd,id,season,season_yr,dist_to_last_yr,mean_diff_dist,mean_ln_dist,prop_forest
TRUE,2010-05-28,TRUE,Buchans,sc2009010,calving,2010,4232.75802,4820.855912,0.480397294,0.051289398
TRUE,2011-05-22,FALSE,Buchans,sc2009010,calving,2011,1777.444093,4247.805849,0.155648682,0.030676606
TRUE,2012-06-22,TRUE,Buchans,sc2009010,calving,2012,39439.12464,14300.36638,0.86113423,0.651476068
TRUE,2007-05-22,FALSE,Grey,sc2006007,calving,2007,3165.413588,1455.259039,0.05296856,0.661507595
TRUE,2008-05-22,TRUE,Grey,sc2006007,calving,2008,4654.350193,9239.276396,0.178663307,0.693057946
TRUE,2009-07-04,TRUE,Grey,sc2006007,calving,2009,11769.53101,15113.64722,0.216974485,0.468767908
TRUE,2010-06-08,TRUE,Grey,sc2006007,calving,2010,725.2104181,5318.421264,0.095414099,0.507608384
TRUE,2007-05-30,TRUE,Grey,sc2006008,calving,2007,53426.29539,15095.62719,0.404181759,0.406823394
TRUE,2008-05-21,FALSE,Grey,sc2006008,calving,2008,48055.76248,27564.25159,0.387489504,0.912084765
TRUE,2007-06-23,TRUE,Grey,sc2006010,calving,2007,58551.20172,22211.45343,0.5613021,0.295500143
TRUE,2008-05-21,FALSE,Grey,sc2006010,calving,2008,29567.84165,22259.67821,0.333465794,0.500286369
TRUE,2007-05-28,TRUE,Grey,sc2006011,calving,2007,1862.610603,8578.685459,0.157280797,0.530623927
TRUE,2008-06-01,TRUE,Grey,sc2006011,calving,2008,6532.789497,17242.48389,0.420361186,0.668773341
TRUE,2009-05-24,FALSE,Grey,sc2006011,calving,2009,2148.702991,15057.31961,0.329850707,0.351118761
TRUE,2010-05-27,FALSE,Grey,sc2006011,calving,2010,43036.61577,16830.136,0.354724129,0.067029504
TRUE,2011-05-26,TRUE,Grey,sc2006011,calving,2011,41553.36485,23528.2656,0.4527133,0.510011442
TRUE,2012-05-26,TRUE,Grey,sc2006011,calving,2012,831.6304757,4811.911246,0.075353552,0.40195234
TRUE,2007-06-05,TRUE,Grey,sc2006028,calving,2007,106375.6914,107394.8711,1.117580833,0.336100773
TRUE,2008-05-23,FALSE,Grey,sc2006028,calving,2008,20920.92586,20778.18781,0.148161734,0.321654222
TRUE,2008-05-24,TRUE,Grey,sc2006037,calving,2008,698.1089029,8007.818635,0.203094193,0.672295363
TRUE,2009-05-22,FALSE,Grey,sc2006037,calving,2009,1707.849685,6280.328407,0.151361654,0.657789233
TRUE,2010-05-30,TRUE,Grey,sc2006037,calving,2010,21491.23076,14934.11714,0.219017992,0.524914089
TRUE,2011-05-26,TRUE,Grey,sc2006037,calving,2011,14499.41811,13697.45617,0.1681298,0.569667431
TRUE,2012-05-27,TRUE,Grey,sc2006037,calving,2012,6998.11015,5724.557896,0.066880015,0.596556671
TRUE,2008-05-21,FALSE,Grey,sc2006051,calving,2008,2585.623988,8136.508983,0.190845309,0.660545194
TRUE,2009-05-29,TRUE,Grey,sc2006051,calving,2009,2201.024081,4866.256198,0.137330959,0.571305842
TRUE,2010-05-30,TRUE,Grey,sc2006051,calving,2010,9576.607034,11490.87688,0.365521,0.223017463
TRUE,2011-05-22,FALSE,Grey,sc2006051,calving,2011,10740.19971,12547.68363,0.251863546,0.48579627
TRUE,2008-06-17,TRUE,Grey,sc2006067,calving,2008,621.9609508,14909.95594,0.31097124,0.571223846
TRUE,2008-05-21,FALSE,Grey,sc2006069,calving,2008,184.7193996,9370.856605,0.161206269,0.610840264
TRUE,2009-05-22,FALSE,Grey,sc2006069,calving,2009,6252.670247,14264.91358,0.321377455,0.794092343
TRUE,2009-05-25,FALSE,Grey,sc2007028,calving,2009,80737.24535,33340.10172,0.728055456,0.806655192
TRUE,2010-05-25,FALSE,Grey,sc2007028,calving,2010,47849.1479,21031.69735,0.466834926,0.139255014
TRUE,2008-05-31,TRUE,Grey,sc2007032,calving,2008,2125.47291,14887.60598,0.27951063,0.578630765
TRUE,2009-05-22,FALSE,Grey,sc2007032,calving,2009,1126.100081,17402.96065,0.339673666,0.54769407
TRUE,2010-05-23,TRUE,Grey,sc2007032,calving,2010,2695.483911,9041.204662,0.179291684,0.854238259
TRUE,2011-05-22,FALSE,Grey,sc2007032,calving,2011,1468.648278,4751.634704,0.094183143,0.60882016
TRUE,2012-05-21,FALSE,Grey,sc2007032,calving,2012,1077.252406,516.5865806,0.010269829,0.805850301
TRUE,2008-05-21,FALSE,Grey,sc2007038,calving,2008,3714.402742,7948.968853,0.151431479,0.315759312
TRUE,2009-05-22,FALSE,Grey,sc2007038,calving,2009,5687.096475,10082.69445,0.230434196,0.755803955
TRUE,2010-05-27,TRUE,Grey,sc2007038,calving,2010,2377.408274,10060.28338,0.233790019,0.386735573
TRUE,2011-05-25,TRUE,Grey,sc2007038,calving,2011,1085.432376,8894.631412,0.195801594,0.240618734
TRUE,2012-05-21,FALSE,Grey,sc2007038,calving,2012,409.667825,911.745611,0.017203408,0.312535776
TRUE,2008-05-30,TRUE,Grey,sc2007041,calving,2008,32466.61447,21932.73574,0.313206907,0.355606539
TRUE,2009-06-02,TRUE,Grey,sc2007041,calving,2009,23347.97654,15697.90709,0.259946983,0.359070034
TRUE,2010-05-22,FALSE,Grey,sc2007041,calving,2010,23899.19307,13537.88595,0.282956248,0.282309018
TRUE,2011-05-22,FALSE,Grey,sc2007041,calving,2011,873.279133,5470.214837,0.094481713,0.315955314
TRUE,2008-05-21,FALSE,Grey,sc2007090,calving,2008,6442.833436,9871.997766,0.169640851,0.556766055
TRUE,2009-05-22,FALSE,Grey,sc2007090,calving,2009,1334.888208,3926.522229,0.08810777,0.43364861
TRUE,2010-05-29,TRUE,Grey,sc2007090,calving,2010,6732.233355,7798.296895,0.253355896,0.160504443
TRUE,2008-05-30,TRUE,Lapoile,sc2007055,calving,2008,23618.17046,32642.74931,0.850177214,0.077672686
TRUE,2009-05-29,FALSE,Lapoile,sc2007055,calving,2009,4128.634488,22698.69082,0.706376611,0.200286123
TRUE,2010-05-30,TRUE,Lapoile,sc2007055,calving,2010,28051.38171,26284.25204,1.053860131,0.517034068
TRUE,2011-06-17,TRUE,Lapoile,sc2007055,calving,2011,32064.44696,17935.06557,1.015853425,0.220853624
TRUE,2012-05-21,FALSE,Lapoile,sc2007055,calving,2012,39656.11127,23057.7185,1.790222285,0.210888252
TRUE,2010-05-22,FALSE,Lapoile,sc2007062,calving,2010,15687.10679,22090.23094,0.946276468,0.211973647
TRUE,2011-06-10,TRUE,Lapoile,sc2007062,calving,2011,12212.67211,10527.02091,0.896297013,0.089265212
TRUE,2012-05-23,FALSE,Lapoile,sc2007062,calving,2012,24929.19145,10353.60791,0.726578421,0.106047578
TRUE,2008-05-21,FALSE,Lapoile,sc2007063,calving,2008,104512.6188,88845.76016,1.266708717,0.403840642
TRUE,2009-05-22,FALSE,Lapoile,sc2007063,calving,2009,1076.699659,25233.00571,0.417948452,0.276406429
TRUE,2010-05-22,FALSE,Lapoile,sc2007063,calving,2010,787.7608807,17705.32739,0.294070559,0.374104841
TRUE,2008-05-21,FALSE,Lapoile,sc2007066,calving,2008,48559.62986,47082.22933,1.143348525,0.356773823
TRUE,2008-05-21,FALSE,Lapoile,sc2007067,calving,2008,48288.95481,40258.26938,1.489457264,0.314899713
