Herd,season_yr,season,ID1,ID2,distance,dyadID
Fogo,2016,calving,FO2016011,FO2016009,17659.60162,FO2016009-FO2016011
Fogo,2016,calving,FO2016011,FO2016010,22155.42855,FO2016010-FO2016011
Fogo,2016,calving,FO2016011,FO2016003,15387.25593,FO2016003-FO2016011
Fogo,2016,calving,FO2016011,FO2016013,10671.54325,FO2016011-FO2016013
Fogo,2016,calving,FO2016011,FO2016001,6287.931685,FO2016001-FO2016011
Fogo,2016,calving,FO2016011,FO2016012,19344.98919,FO2016011-FO2016012
Fogo,2016,calving,FO2016011,FO2016002,17247.38472,FO2016002-FO2016011
Fogo,2016,calving,FO2016012,FO2016014,993.8462149,FO2016012-FO2016014
Fogo,2016,calving,FO2016012,FO2016015,6251.592767,FO2016012-FO2016015
Fogo,2016,calving,FO2016012,FO2016004,17800.34508,FO2016004-FO2016012
Fogo,2016,calving,FO2016012,FO2016007,16525.77268,FO2016007-FO2016012
Fogo,2016,calving,FO2016012,FO2016008,3827.948354,FO2016008-FO2016012
Fogo,2016,calving,FO2016012,FO2016011,19344.98919,FO2016011-FO2016012
Fogo,2016,calving,FO2016012,FO2016005,12299.23949,FO2016005-FO2016012
Fogo,2016,calving,FO2016012,FO2016009,9005.413899,FO2016009-FO2016012
Fogo,2016,calving,FO2016012,FO2016010,12894.42233,FO2016010-FO2016012
Fogo,2016,calving,FO2016012,FO2016003,18278.41962,FO2016003-FO2016012
Fogo,2016,calving,FO2016012,FO2016013,13305.44846,FO2016012-FO2016013
Fogo,2016,calving,FO2016012,FO2016001,25540.77519,FO2016001-FO2016012
Fogo,2016,calving,FO2016012,FO2016002,9996.62379,FO2016002-FO2016012
Fogo,2016,calving,FO2016013,FO2016014,13077.97775,FO2016013-FO2016014
Fogo,2016,calving,FO2016013,FO2016015,10108.31651,FO2016013-FO2016015
Fogo,2016,calving,FO2016013,FO2016004,7084.81725,FO2016004-FO2016013
Fogo,2016,calving,FO2016013,FO2016007,5926.95174,FO2016007-FO2016013
Fogo,2016,calving,FO2016013,FO2016008,9486.395977,FO2016008-FO2016013
Fogo,2016,calving,FO2016013,FO2016011,10671.54325,FO2016011-FO2016013
Fogo,2016,calving,FO2016013,FO2016005,1660.227928,FO2016005-FO2016013
Fogo,2016,calving,FO2016013,FO2016009,7689.31509,FO2016009-FO2016013
Fogo,2016,calving,FO2016013,FO2016010,11586.08621,FO2016010-FO2016013
Fogo,2016,calving,FO2016013,FO2016003,6663.526958,FO2016003-FO2016013
Fogo,2016,calving,FO2016013,FO2016001,15338.93068,FO2016001-FO2016013
Fogo,2016,calving,FO2016013,FO2016012,13305.44846,FO2016012-FO2016013
Fogo,2016,calving,FO2016013,FO2016002,6994.179687,FO2016002-FO2016013
Fogo,2016,calving,FO2016014,FO2016015,6823.007371,FO2016014-FO2016015
Fogo,2016,calving,FO2016014,FO2016004,17917.33234,FO2016004-FO2016014
